col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,label_0,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10,label_11,label_12,label_13,label_14,label_15,label_16,label_17,label_18,label_19,label_20,label_21,label_22,label_23,label_24,label_25
_24,England,_1439,Right,_3,_3,Medium/ Low,Lean,3,6,3,7,6,8,8,5,7,5,2,5,2,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
_24,Uruguay,_1557,Left,_2,_2,High/ High,Stocky,3,2,5,5,5,7,8,6,5,8,6,4,6,5,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
_22,Republic of Ireland,_1595,Left,_2,_3,Medium/ Medium,Lean,6,5,5,7,6,9,9,6,9,7,4,6,5,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
_21,England,_1531,Left,_2,_2,High/ Medium,Normal,5,3,5,6,5,7,7,6,7,4,6,4,6,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
_22,Nigeria,_1836,Right,_3,_3,Medium/ High,Lean,5,5,7,7,7,6,6,7,6,8,7,6,7,7,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
_19,Spain,_1715,Right,_3,_3,High/ Medium,Lean,6,5,6,6,6,8,8,6,7,6,6,5,6,6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0
_35,Finland,_1813,Right,_4,_3,High/ Medium,Normal,7,4,6,6,7,7,7,7,8,7,7,6,6,7,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
_27,Austria,_1652,Left,_3,_4,High/ Medium,Normal,6,6,6,7,7,8,8,6,7,7,2,6,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
_23,Spain,_1530,Right,_3,_2,Medium/ Medium,Normal,6,3,5,4,6,6,6,6,6,5,6,4,6,7,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
_22,Benin,_1387,Right,_2,_2,Medium/ Medium,Normal,3,2,4,3,4,5,5,5,5,4,6,3,7,7,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
_25,Netherlands,_1894,Right,_2,_2,Medium/ Medium,Normal,7,5,7,6,7,7,7,6,7,7,7,6,7,7,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
_25,Cameroon,_1665,Right,_3,_3,High/ Medium,Normal,5,6,5,7,7,9,8,6,8,7,5,5,4,5,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
_19,Austria,_1520,Right,_3,_2,Medium/ Medium,Normal,4,3,4,5,6,6,7,6,5,5,6,4,7,7,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
_36,Colombia,_1562,Right,_4,_2,Medium/ Medium,Normal,5,6,5,6,6,6,6,6,6,6,2,5,3,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
_22,Poland,_1362,Left,_2,_2,Low/ High,Lean,3,2,6,5,6,3,4,6,5,3,7,6,7,7,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
_29,Sweden,_1650,Right,_3,_2,Medium/ Medium,Normal,5,5,5,4,6,5,6,7,6,8,7,4,7,7,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
_28,Cameroon,_1878,Right,_3,_3,Medium/ Medium,Lean,6,3,7,7,7,7,7,7,8,6,8,6,8,8,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
_22,Colombia,_1524,Right,_3,_2,Medium/ Medium,Lean,6,3,5,6,5,7,8,6,7,4,6,5,7,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
_31,Japan,_1778,Right,_4,_2,High/ High,Lean,6,4,6,6,6,7,7,6,7,7,7,6,7,7,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
_18,Spain,_1746,Right,_3,_3,Medium/ Low,Lean,6,6,8,7,7,6,7,7,8,6,5,8,5,5,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
_22,Germany,_1760,Left,_4,_3,Medium/ Medium,Lean,6,5,7,7,7,8,7,6,8,6,4,7,7,4,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
_31,Argentina,_1805,Right,_3,_3,High/ Low,Normal,7,6,6,6,6,9,9,6,8,7,5,6,6,4,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
_31,Korea Republic,_1555,Right,_2,_2,Medium/ Medium,Normal,5,4,6,6,6,6,6,6,7,7,6,6,5,6,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
_25,France,_1512,Right,_2,_2,Low/ Medium,Normal,5,2,6,5,6,7,7,6,6,4,6,3,6,6,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
_26,Germany,_1685,Right,_5,_3,Medium/ High,Normal,6,6,5,7,6,7,7,6,8,6,5,6,4,5,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
_20,Argentina,_1628,Right,_3,_3,Medium/ Medium,Normal,6,5,5,7,7,7,7,6,7,6,3,6,6,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
_20,Switzerland,_1478,Right,_3,_2,Medium/ Medium,Stocky,3,6,4,6,6,7,8,6,7,6,1,5,4,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
_32,England,_1599,Left,_3,_2,Medium/ Medium,Normal,6,3,6,6,6,6,6,6,7,4,6,5,6,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
_33,France,_1623,Right,_3,_2,Medium/ Medium,Normal,4,3,7,6,6,5,5,6,6,6,7,5,6,6,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
_32,Norway,_1575,Right,_2,_2,Medium/ Medium,Lean,4,3,6,4,6,6,6,6,6,7,6,6,6,6,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
_25,Spain,_1444,Right,_3,_2,Medium/ Medium,Normal,3,3,6,6,6,6,6,6,6,3,7,5,7,6,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
_23,Guinea,_2082,Right,_4,_4,High/ Medium,Lean,6,7,8,9,9,8,6,8,9,8,8,8,7,6,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
_18,Ghana,_1459,Right,_2,_3,Medium/ Medium,Normal,4,5,4,5,5,8,9,5,8,5,2,5,4,3,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
_21,Spain,_1582,Left,_2,_3,Medium/ Medium,Normal,6,6,6,7,6,7,7,5,8,6,3,6,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
_25,Argentina,_1998,Right,_3,_3,Medium/ High,Normal,6,6,7,7,7,7,7,7,7,8,8,7,7,8,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
_18,Argentina,_1369,Right,_3,_2,Medium/ Medium,Lean,3,3,4,4,5,6,6,5,6,4,6,3,7,7,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
_34,Brazil,_1618,Right,_3,_2,Medium/ Medium,Normal,6,3,7,4,4,5,5,7,7,5,7,6,7,6,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
_18,Congo,_1358,Right,_3,_2,Medium/ Medium,Normal,3,6,4,6,6,7,7,5,5,6,2,5,2,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
_24,India,_1530,Right,_4,_2,High/ Medium,Normal,6,3,5,5,6,8,8,5,7,5,6,4,6,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
_20,Spain,_1594,Right,_2,_2,Medium/ Medium,Normal,6,4,5,5,5,7,7,6,7,6,6,5,6,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
_31,Brazil,_1719,Right,_2,_2,Low/ High,Normal,5,3,6,5,6,5,5,6,6,7,7,6,6,7,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
_20,Mexico,_1552,Left,_3,_2,Medium/ Medium,Normal,6,3,5,6,6,5,6,6,8,5,6,4,6,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
_29,Mexico,_1666,Right,_3,_2,Medium/ Low,Normal,5,7,6,6,7,4,5,7,3,8,4,7,3,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
_22,Guinea Bissau,_1635,Right,_2,_2,Medium/ Medium,Lean,5,3,5,5,6,6,7,7,8,5,6,5,7,6,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
_18,England,_1624,Right,_3,_2,Medium/ Medium,Normal,4,6,6,6,7,7,7,6,9,6,6,7,6,3,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
_20,Sweden,_1287,Right,_2,_2,Medium/ Medium,Normal,3,3,5,3,5,6,6,5,5,4,5,2,6,6,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
_31,Chile,_2048,Right,_3,_3,Medium/ High,Normal,7,6,8,7,8,6,5,7,9,8,8,7,7,7,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
_21,China PR,_1567,Right,_3,_2,Medium/ Medium,Lean,3,6,4,6,6,8,7,7,6,7,1,5,2,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
_20,Argentina,_1624,Right,_3,_3,High/ Medium,Stocky,5,7,5,6,7,8,8,6,7,6,3,6,3,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
_30,Georgia,_1646,Right,_2,_2,Medium/ High,Stocky,5,2,7,6,7,5,6,7,6,4,8,6,7,7,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
_21,Mexico,_1520,Right,_3,_2,Medium/ Medium,Lean,6,3,4,6,5,8,8,7,7,3,6,5,6,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
_29,England,_1713,Right,_3,_3,Medium/ Low,Normal,4,7,5,6,7,7,7,7,6,7,2,6,2,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
_31,France,_1841,Right,_3,_2,High/ Medium,Normal,7,4,6,6,7,7,7,7,7,5,7,6,6,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
_18,England,_1364,Right,_4,_3,High/ High,Stocky,3,6,3,6,6,8,8,5,6,5,1,4,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
_27,Switzerland,_1958,Right,_3,_3,Medium/ Medium,Normal,7,7,6,8,8,7,7,8,8,8,4,7,4,4,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
_35,Korea Republic,_1798,Right,_3,_3,Medium/ High,Stocky,6,6,6,6,6,7,6,6,8,7,7,6,7,6,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
_23,Brazil,_1635,Right,_3,_2,Medium/ Medium,Normal,5,3,6,6,7,7,6,5,7,5,6,6,5,6,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
_34,Germany,_1869,Right,_3,_2,Low/ Medium,Normal,6,5,7,6,7,7,7,7,7,7,7,6,7,7,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
_37,Italy,_1573,Left,_2,_2,Low/ High,Lean,5,2,6,5,6,5,3,6,7,6,8,3,8,8,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
_23,France,_1603,Left,_3,_3,Medium/ Medium,Normal,6,3,4,6,6,9,8,6,8,5,6,4,6,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
_25,Ivory Coast,_1989,Right,_3,_3,High/ High,Normal,6,6,7,7,7,8,7,7,8,7,8,6,7,7,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
